title,studio,domestic_gross,foreign_gross,year,total_gross,title_clean,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,movie_id,averagerating,numvotes
Skyline,Uni.,21400000.0,45400000.0,2010,66800000.0,skyline,tt1564585,Skyline,Skyline,2010,92.0,"Action,Sci-Fi,Thriller",tt1564585,4.4,83710.0
Hot Tub Time Machine,MGM,50300000.0,14300000.0,2010,64600000.0,hot tub time machine,tt1231587,Hot Tub Time Machine,Hot Tub Time Machine,2010,101.0,"Comedy,Sci-Fi",tt1231587,6.4,153962.0
Devil,Uni.,33600000.0,29100000.0,2010,62700000.0,devil,tt1314655,Devil,Devil,2010,80.0,"Horror,Mystery,Thriller",tt1314655,6.2,122080.0
127 Hours,FoxS,18300000.0,42400000.0,2010,60700000.0,127 hours,tt1542344,127 Hours,127 Hours,2010,94.0,"Adventure,Biography,Drama",tt1542344,7.6,323949.0
Secretariat,BV,59700000.0,537000.0,2010,60237000.0,secretariat,tt1028576,Secretariat,Secretariat,2010,123.0,"Biography,Drama,Family",tt1028576,7.2,24536.0
The Ghost Writer,Sum.,15500000.0,44700000.0,2010,60200000.0,the ghost writer,tt1139328,The Ghost Writer,The Ghost Writer,2010,128.0,"Drama,Mystery,Thriller",tt1139328,7.2,148274.0
Morning Glory,Par.,31000000.0,29000000.0,2010,60000000.0,morning glory,tt1126618,Morning Glory,Morning Glory,2010,107.0,"Comedy,Drama,Romance",tt1126618,6.5,67367.0
Remember Me,Sum.,19100000.0,37000000.0,2010,56100000.0,remember me,tt1403981,Remember Me,Remember Me,2010,113.0,"Drama,Romance",tt1403981,7.1,129443.0
Cop Out,WB,44900000.0,10700000.0,2010,55600000.0,cop out,tt1385867,Cop Out,Cop Out,2010,107.0,"Action,Comedy,Crime",tt1385867,5.6,81656.0
The Crazies,Over.,39100000.0,15700000.0,2010,54800000.0,the crazies,tt0455407,The Crazies,The Crazies,2010,101.0,"Horror,Thriller",tt0455407,6.5,104465.0
From Paris with Love,LGF,24100000.0,28700000.0,2010,52800000.0,from paris with love,tt1179034,From Paris with Love,From Paris with Love,2010,92.0,"Action,Crime,Thriller",tt1179034,6.5,107079.0
Alpha and Omega,LGF,25100000.0,25400000.0,2010,50500000.0,alpha and omega,tt1213012,Alpha and Omega,Alpha and Omega,2010,90.0,"Adventure,Animation,Comedy",tt1213012,5.3,12463.0
The Switch,Mira.,27800000.0,22100000.0,2010,49900000.0,the switch,tt0889573,The Switch,The Switch,2010,101.0,"Comedy,Drama,Romance",tt0889573,6.1,90661.0
She's Out of My League,Par.,32000000.0,17800000.0,2010,49800000.0,she's out of my league,tt0815236,She's Out of My League,She's Out of My League,2010,104.0,"Comedy,Romance",tt0815236,6.4,117245.0
How Do You Know,Sony,30200000.0,18500000.0,2010,48700000.0,how do you know,tt1341188,How Do You Know,How Do You Know,2010,121.0,"Comedy,Drama,Romance",tt1341188,5.4,41072.0
Charlie St. Cloud,Uni.,31200000.0,17000000.0,2010,48200000.0,charlie st. cloud,tt1438254,Charlie St. Cloud,Charlie St. Cloud,2010,99.0,"Drama,Fantasy,Romance",tt1438254,6.5,55016.0
Scott Pilgrim vs. the World,Uni.,31500000.0,16100000.0,2010,47600000.0,scott pilgrim vs. the world,tt0446029,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,112.0,"Action,Comedy,Fantasy",tt0446029,7.5,339338.0
Heartbreaker,IFC,504000.0,46900000.0,2010,47404000.0,heartbreaker,tt1465487,Heartbreaker,L'arnacoeur,2010,105.0,"Comedy,Romance",tt1465487,6.8,23995.0
The Spy Next Door,LGF,24300000.0,20900000.0,2010,45200000.0,the spy next door,tt1273678,The Spy Next Door,The Spy Next Door,2010,94.0,"Action,Comedy,Family",tt1273678,5.5,36767.0
Machete,Fox,26600000.0,17500000.0,2010,44100000.0,machete,tt0985694,Machete,Machete,2010,105.0,"Action,Crime,Thriller",tt0985694,6.6,182320.0
The Man From Nowhere,CJ,528000.0,42500000.0,2010,43028000.0,the man from nowhere,tt1527788,The Man from Nowhere,Ajeossi,2010,119.0,"Action,Drama,Thriller",tt1527788,7.8,55247.0
When in Rome,BV,32700000.0,10400000.0,2010,43100000.0,when in rome,tt1185416,When in Rome,When in Rome,2010,91.0,"Comedy,Romance",tt1185416,5.6,57396.0
My Name is Khan,FoxS,4000000.0,38300000.0,2010,42300000.0,my name is khan,tt1188996,My Name Is Khan,My Name Is Khan,2010,165.0,Drama,tt1188996,8.0,90988.0
Going the Distance,WB (NL),17800000.0,24200000.0,2010,42000000.0,going the distance,tt1322312,Going the Distance,Going the Distance,2010,102.0,"Comedy,Romance",tt1322312,6.3,54421.0
For Colored Girls,LGF,37700000.0,17300.0,2010,37717300.0,for colored girls,tt1405500,For Colored Girls,For Colored Girls,2010,133.0,Drama,tt1405500,6.1,6728.0
Furry Vengeance,Sum.,17600000.0,18600000.0,2010,36200000.0,furry vengeance,tt0492389,Furry Vengeance,Furry Vengeance,2010,92.0,"Comedy,Family",tt0492389,3.8,14700.0
Faster,CBS,23200000.0,12400000.0,2010,35600000.0,faster,tt1433108,Faster,Faster,2010,98.0,"Action,Crime,Drama",tt1433108,6.5,93618.0
The Kids Are All Right,Focus,20800000.0,13900000.0,2010,34700000.0,the kids are all right,tt0842926,The Kids Are All Right,The Kids Are All Right,2010,106.0,"Comedy,Drama,Romance",tt0842926,7.0,120656.0
You Will Meet a Tall Dark Stranger,SPC,3200000.0,31000000.0,2010,34200000.0,you will meet a tall dark stranger,tt1182350,You Will Meet a Tall Dark Stranger,You Will Meet a Tall Dark Stranger,2010,98.0,"Comedy,Drama,Romance",tt1182350,6.3,41608.0
Leap Year,Uni.,25900000.0,6700000.0,2010,32600000.0,leap year,tt1216492,Leap Year,Leap Year,2010,100.0,"Comedy,Romance",tt1216492,6.5,86125.0
Leap Year,Uni.,25900000.0,6700000.0,2010,32600000.0,leap year,tt1537401,Leap Year,Año bisiesto,2010,94.0,"Drama,Romance",tt1537401,5.9,2211.0
You Again,BV,25700000.0,6300000.0,2010,32000000.0,you again,tt1414382,You Again,You Again,2010,105.0,"Comedy,Family,Romance",tt1414382,5.8,46690.0
The Losers,WB,23600000.0,5800000.0,2010,29400000.0,the losers,tt0480255,The Losers,The Losers,2010,97.0,"Action,Adventure,Crime",tt0480255,6.4,83876.0
Ramona and Beezus,Fox,26200000.0,1100000.0,2010,27300000.0,ramona and beezus,tt0493949,Ramona and Beezus,Ramona and Beezus,2010,103.0,"Adventure,Comedy,Family",tt0493949,6.6,16086.0
Let Me In,Over.,12100000.0,12000000.0,2010,24100000.0,let me in,tt1228987,Let Me In,Let Me In,2010,116.0,"Drama,Fantasy,Horror",tt1228987,7.1,107012.0
Just Wright,FoxS,21500000.0,29900.0,2010,21529900.0,just wright,tt1407061,Just Wright,Just Wright,2010,100.0,"Comedy,Romance,Sport",tt1407061,5.9,12466.0
Our Family Wedding,FoxS,20300000.0,1200000.0,2010,21500000.0,our family wedding,tt1305583,Our Family Wedding,Our Family Wedding,2010,103.0,"Comedy,Romance",tt1305583,4.9,6417.0
My Soul to Take,Uni.,14700000.0,6200000.0,2010,20900000.0,my soul to take,tt0872230,My Soul to Take,My Soul to Take,2010,107.0,"Horror,Mystery,Thriller",tt0872230,4.8,18381.0
Country Strong,SGem,20200000.0,310000.0,2010,20510000.0,country strong,tt1555064,Country Strong,Country Strong,2010,117.0,"Drama,Music",tt1555064,6.3,16296.0
Another Year,SPC,3200000.0,16500000.0,2010,19700000.0,another year,tt1431181,Another Year,Another Year,2010,129.0,"Comedy,Drama",tt1431181,7.3,26273.0
Buried,LGF,1000000.0,18100000.0,2010,19100000.0,buried,tt1462758,Buried,Buried,2010,95.0,"Drama,Mystery,Thriller",tt1462758,7.0,139426.0
Repo Men,Uni.,13800000.0,4600000.0,2010,18400000.0,repo men,tt1053424,Repo Men,Repo Men,2010,111.0,"Action,Crime,Sci-Fi",tt1053424,6.3,96144.0
The Nutcracker in 3D,Free,195000.0,16000000.0,2010,16195000.0,the nutcracker in 3d,tt1041804,The Nutcracker in 3D,The Nutcracker in 3D,2010,110.0,"Action,Family,Fantasy",tt1041804,4.3,3119.0
Sea Rex 3D: Journey to a Prehistoric World,3D,6100000.0,9900000.0,2010,16000000.0,sea rex 3d: journey to a prehistoric world,tt1529567,Sea Rex 3D: Journey to a Prehistoric World,Sea Rex 3D: Journey to a Prehistoric World,2010,41.0,Documentary,tt1529567,6.9,364.0
I Hate Luv Storys,UTV,848000.0,14900000.0,2010,15748000.0,i hate luv storys,tt1667838,I Hate Luv Storys,I Hate Luv Storys,2010,129.0,"Comedy,Drama,Romance",tt1667838,5.7,6921.0
